# {"t_start": 1545431934.8073049, "env_id": null} 
r,l,t
340.068831,1000,876.976016
641.610497,1000,878.156514
95.394971,1000,879.258264
604.447109,1000,880.450462
450.360323,1000,881.641744
561.500095,1000,882.774131
406.441352,1000,883.92476
409.076135,1000,885.108664
539.502698,1000,886.300766
625.738661,1000,887.482205
484.168094,1000,888.591511
567.453226,1000,889.716697
75.905817,1000,890.809684
189.073625,1000,891.932157
258.84211,1000,893.045882
530.08411,1000,894.162137
622.200197,1000,895.372939
480.32029,1000,896.547257
567.219436,1000,897.670843
538.94242,1000,898.81899
205.516995,1000,899.923693
392.23233,1000,901.134269
549.625092,1000,902.255066
116.991918,1000,903.393097
518.848725,1000,904.524303
611.846221,1000,905.705316
151.090955,1000,906.815951
310.012784,1000,907.925699
122.729089,1000,909.013797
669.536239,1000,910.214305
470.171577,1000,911.366865
270.066788,1000,912.500617
100.837997,1000,913.588817
533.378723,1000,914.712004
82.504795,1000,915.842926
546.8132,1000,916.952697
130.578414,1000,918.023177
783.477954,1000,919.276183
488.950177,1000,920.389092
468.49901,1000,921.518556
590.804324,1000,922.643029
826.480331,1000,923.877861
533.910836,1000,925.067635
534.065851,1000,926.294223
37.029588,1000,927.385259
819.557331,1000,928.637089
172.62742,1000,929.733683
333.720457,1000,930.837515
115.09556,1000,931.944445
107.962842,1000,933.014098
905.084704,1000,934.276979
529.863635,1000,935.466948
265.72354,1000,936.598655
52.558697,1000,937.694691
256.120556,1000,938.877912
503.033301,1000,940.013692
948.098195,1000,941.306149
634.69513,1000,942.482618
243.162649,1000,943.613555
556.355914,1000,944.734803
402.268205,1000,945.892758
215.866732,1000,947.023248
755.450028,1000,948.2763
138.445917,1000,949.389961
76.10904,1000,950.459138
237.346867,1000,951.644865
598.438428,1000,952.820268
530.692368,1000,953.98871
210.192087,1000,955.080549
70.080252,1000,956.157798
85.66024,1000,957.274716
190.479311,1000,958.421851
624.839749,1000,959.63379
350.603857,1000,960.792068
449.642357,1000,961.943573
102.497674,1000,963.062458
233.780374,1000,964.223623
578.400369,1000,965.438526
242.569905,1000,966.552357
487.325931,1000,967.690677
550.619086,1000,968.801893
442.718366,1000,969.906323
587.872841,1000,971.050914
195.568265,1000,972.199029
