Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
88	0.25938052	0.11044718	0.688001	0.09745197	0.2848617	0.065009326	0.38126382	0.20368268	200.0	200.0	440000	231.72202	42.50384	290.0677	11.352499	231.7223	42.502705	290.70013	13.970089	-236.69415	21.69868	3851.721092224121
89	0.34455708	0.3849427	1.862946	0.07272	1.7763741	0.48906776	2.7396116	1.1753768	200.0	200.0	445000	231.2984	29.665045	287.85605	13.049716	231.2985	29.663403	289.3302	11.45276	-235.464	11.711229	3890.2886679172516
90	2.1550229	1.3512038	5.3526163	0.123597756	2.4436705	0.79368013	4.069416	1.643635	200.0	200.0	450000	222.6792	21.995045	283.0958	10.7147875	222.6795	21.993471	284.3537	11.173069	-225.094	7.037951	3930.0101070404053
91	12.06022	8.770992	31.384468	1.3752168	6.36866	1.0456675	7.7124305	4.690455	200.0	200.0	455000	211.35538	18.413406	299.34735	43.945465	211.35532	18.41424	296.6403	44.0099	-213.3165	5.544528	3970.300195455551
92	14.080977	12.614732	47.071136	1.0729488	47.85728	22.957203	69.479355	3.7450476	200.0	200.0	460000	202.69894	18.939497	292.2429	50.124725	202.69888	18.939981	291.55893	49.7494	-204.65521	5.100059	4013.531155347824
93	61.463867	62.878124	199.20288	2.642202	80.91528	13.380036	92.39445	48.462147	200.0	200.0	465000	192.44574	18.42285	275.29468	48.552036	192.44574	18.42209	276.38535	48.80303	-193.77797	4.2364507	4056.9769191741943
94	61.51022	54.7595	192.4597	3.1717567	70.83566	69.46903	200.62628	14.34057	200.0	200.0	470000	180.91103	16.736492	251.83498	37.076546	180.91096	16.738176	250.54414	40.069885	-182.15622	3.4343603	4099.630501747131
95	49.072098	37.863758	116.81624	3.421154	35.978477	24.483978	101.66888	16.274214	200.0	200.0	475000	171.10544	16.100876	231.66997	30.211273	171.10547	16.101788	231.58617	31.882002	-172.32254	2.8837306	4141.784356594086
96	63.90245	29.961655	102.44237	0.94324666	84.82392	17.430243	107.77439	58.28021	200.0	200.0	480000	161.61891	15.819479	214.08498	30.76842	161.61885	15.820236	215.20573	29.955282	-162.6728	2.6185296	4183.211583614349
97	77.13782	56.435722	199.3392	5.2273936	38.105087	3.273361	43.719143	32.870808	200.0	200.0	485000	151.93745	15.15048	195.36102	18.55246	151.93738	15.151708	194.76634	17.112997	-152.8435	2.1170425	4225.650292873383
98	50.59038	27.053596	102.928024	4.5192995	93.32527	15.5915785	115.01133	70.16345	200.0	200.0	490000	143.45474	14.607929	175.56577	0.6652502	143.45467	14.6082535	175.26492	0.07452297	-144.36557	1.8778633	4265.929845333099
99	81.84285	58.17065	198.61586	14.3298855	175.0044	40.020428	208.08737	71.9273	200.0	200.0	495000	135.85019	14.39617	159.43257	-16.747185	135.85007	14.397371	160.12862	-11.730202	-136.62598	1.8741204	4309.567298412323
100	120.71879	62.77823	204.22723	23.377548	198.52933	3.7727237	203.43938	192.10916	200.0	200.0	500000	128.70079	14.328739	146.89789	-18.253403	128.70071	14.328485	146.65404	-22.003553	-129.46255	1.874966	4355.961708545685
101	153.33696	58.27633	206.42725	17.842314	86.74719	43.588673	126.5549	16.693752	200.0	200.0	505000	122.11437	14.488036	140.23866	-17.163721	122.114296	14.488241	140.61014	-14.872691	-122.82717	1.9311594	4402.263896942139
102	128.72856	64.78689	202.90958	0.4036303	182.51955	19.914824	201.24127	138.46837	200.0	200.0	510000	115.76611	14.924086	134.38847	-18.319538	115.76598	14.92421	134.21643	-16.888458	-116.4649	2.004097	4447.906409263611
103	146.9619	55.05507	203.37173	12.775048	75.79002	18.295034	119.094444	42.597706	200.0	200.0	515000	109.90616	15.579841	128.84392	-38.920135	109.906075	15.57996	128.94571	-37.79922	-110.55384	2.2295609	4492.946749925613
104	159.44232	46.36004	201.00932	43.38748	198.0676	4.142558	204.48969	187.5061	200.0	200.0	520000	104.476814	16.189117	123.760185	-48.905388	104.476685	16.18882	123.79252	-44.453957	-105.1635	2.358766	4540.390212059021
105	143.94774	39.775253	196.32207	62.727295	191.29648	5.7608724	201.56514	180.92282	200.0	200.0	525000	99.56746	16.555372	119.55092	-47.184017	99.56737	16.555876	119.253296	-46.819904	-100.273994	2.4699044	4586.489721059799
106	112.52581	51.45967	195.40459	12.735245	193.32878	5.26034	201.42809	183.73965	200.0	200.0	530000	95.33006	16.85634	115.47134	-51.279423	95.3301	16.856176	115.09691	-49.29404	-96.08044	2.4328063	4631.745609045029
107	145.81528	55.340557	201.99074	19.797726	189.73021	13.66874	204.62172	152.12088	200.0	200.0	535000	91.70192	17.087471	112.395905	-65.96271	91.701775	17.087755	112.379196	-67.63502	-92.46846	2.6575544	4678.22062754631
108	162.42487	53.65983	203.53754	10.781619	191.71017	16.243586	204.6277	147.64362	200.0	200.0	540000	88.77871	17.084047	109.02212	-59.677925	88.77864	17.084127	109.18448	-62.859905	-89.60497	2.5891216	4725.054463386536
109	183.78506	19.727137	203.22757	117.517525	192.7374	16.043848	202.44275	146.0476	200.0	200.0	545000	86.172134	17.112274	106.46242	-60.775127	86.17211	17.112068	106.64951	-53.2229	-86.95424	2.5102386	4774.803359270096
110	178.04773	40.78993	203.9943	37.521606	201.9318	3.7499342	207.95808	194.47562	200.0	200.0	550000	83.97097	17.409191	104.10107	-62.31244	83.97087	17.409067	104.06045	-64.04784	-84.75003	2.6510673	4823.9445769786835
111	172.90746	40.93505	202.36607	47.2186	202.42911	2.3740525	207.31972	198.63585	200.0	200.0	555000	82.31036	17.812832	102.19424	-66.35319	82.310295	17.812609	102.41159	-70.91078	-83.05929	2.8139637	4873.04000210762
